AnoMes,NumContrato,Conta_Nome,Cosif_Nome,ValorDebito,ValorCredito,Movimentacao,GER,IRPJ,CS,PIS,COFINS
999999,4595627,83360060000005 - CL3 LEI 9430/96-PERDA,81830402 - PROVISOES PARA ARRENDAMENTO MERCANTIL,10426.66,0.00,-10426.66,0008,RAIR,RAIR,Sem efeito,Sem efeito
999999,4595722,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,63510.92,63510.92,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4595913,83360060000005 - CL3 LEI 9430/96-PERDA,81830402 - PROVISOES PARA ARRENDAMENTO MERCANTIL,7496.36,0.00,-7496.36,0008,RAIR,RAIR,Sem efeito,Sem efeito
999999,4596084,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,948058.76,0.00,-948058.76,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4596116,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,360741.01,360741.01,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4596453,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,34632.49,34632.49,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4596681,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,62451.04,62451.04,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4596715,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,16598.58,16598.58,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4597462,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,120859.49,120859.49,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4597575,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,29.77,0.00,-29.77,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4597608,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,247080.60,247080.60,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
