arquivo,arquivo_completo,aba,valor_ultimo_na_linha,status
C3032038.xlsx,data/output/C3032038.xlsx,IR_CS_ANUAL,0,ok
C3032427.xlsx,data/output/C3032427.xlsx,IR_CS_ANUAL,0,ok
C3031748.xlsx,data/output/C3031748.xlsx,IR_CS_ANUAL,0,ok
C3032306.xlsx,data/output/C3032306.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3032511.xlsx,data/output/C3032511.xlsx,IR_CS_ANUAL,1.4551915228366852e-11,ok
C3032610.xlsx,data/output/C3032610.xlsx,IR_CS_ANUAL,0,ok
C3032708.xlsx,data/output/C3032708.xlsx,IR_CS_ANUAL,0,ok
C3033039.xlsx,data/output/C3033039.xlsx,IR_CS_ANUAL,0,ok
C3032259.xlsx,data/output/C3032259.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3032736.xlsx,data/output/C3032736.xlsx,IR_CS_ANUAL,0,ok
C3033206.xlsx,data/output/C3033206.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3033057.xlsx,data/output/C3033057.xlsx,IR_CS_ANUAL,0,ok
C3033326.xlsx,data/output/C3033326.xlsx,IR_CS_ANUAL,0,ok
C3033313.xlsx,data/output/C3033313.xlsx,IR_CS_ANUAL,0,ok
C3033403.xlsx,data/output/C3033403.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3033392.xlsx,data/output/C3033392.xlsx,IR_CS_ANUAL,7.275957614183426e-12,ok
C3033393.xlsx,data/output/C3033393.xlsx,IR_CS_ANUAL,0,ok
C3033442.xlsx,data/output/C3033442.xlsx,IR_CS_ANUAL,-9.094947017729282e-13,ok
C3033865.xlsx,data/output/C3033865.xlsx,IR_CS_ANUAL,0,ok
C3033864.xlsx,data/output/C3033864.xlsx,IR_CS_ANUAL,7.275957614183426e-12,ok
